scheme_code,scheme_name,alpha,beta,r_squared,observations
120843,quant Flexi Cap Fund - Growth Option-Direct Plan,0.27653720437915374,0.004422674020140762,0.0007985232657018585,295
120842,quant Flexi Cap Fund - IDCW Option - Direct Plan,0.2758001823661652,0.0043966561317756595,0.0007886068890348021,295
120841,quant Mid Cap Fund - Growth Option - Direct Plan,0.2451108054964208,-0.0012814683821679657,6.15402173615937e-05,295
118633,Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option,0.2406054237949542,-0.0006397043756192688,2.4478435057879355e-05,295
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,0.24060223807447875,-0.0006399123664733069,2.4494380723503535e-05,295
118634,NIPPON INDIA LARGE CAP FUND - DIRECT Plan - IDCW Option,0.24059243645564163,-0.0006390015322594763,2.442518281049542e-05,295
149324,ITI Banking and Financial Services Fund -Regular Plan - Growth Option,0.18934760269834403,-0.0010818011038067627,4.893939548632899e-05,295
148567,Mahindra Manulife Focused Fund - Direct Plan -Growth,0.18591006325773093,-6.82775593678792e-05,2.5831881517431545e-07,295
148569,Mahindra Manulife Focused Fund - Direct Plan - IDCW,0.18589383841391285,-6.851371690442638e-05,2.601051520278027e-07,295
125497,SBI Small Cap Fund - Direct Plan - Growth,0.18174678720462786,-0.0018730755709802642,0.00021532586092952934,295
120505,Axis Midcap Fund - Direct Plan - Growth,0.16511508450185286,-0.00809753478947764,0.003611248765638208,295
120504,Axis Midcap Fund - Direct Plan - IDCW,0.1642967501634852,-0.008148931678553281,0.003659952248861035,295
149322,ITI Banking and Financial Services Fund - Direct Plan - IDCW Option,0.16042396638421993,-0.000275253126214401,2.9191797218503884e-06,295
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,0.14141383423990136,-0.0035351745459782833,0.000722989486105784,295
119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,0.1413338796129441,-0.0005666748092351886,2.205308102935423e-05,295
149323,ITI Banking and Financial Services Fund - Regular Plan - IDCW Option,0.13637388361246683,-0.00019041638877034464,1.3750191202816506e-06,295
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,0.12463323811910826,-0.0027292357072287343,0.0003761272033947688,295
119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan,0.1104337411864647,-0.0013255027580606415,0.0014200674583252667,290
102885,SBI EQUITY HYBRID FUND - REGULAR PLAN -Growth,0.11022653743046497,0.0007134889349104137,6.251887033134367e-05,295
119092,HDFC Money Market Fund - Growth Option - Direct Plan,0.06881110521507346,-0.00031443907252550016,0.0054383800169781156,290
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,0.0663101206273299,-0.0011435809464460922,0.009809811924318068,290
120507,Invesco India Money Market Fund - Direct Plan - Growth,0.06401286595612295,-0.00042955346695972804,0.006167803867131472,290
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,0.05746503883881686,-0.0011615070687656314,0.009855105990718618,290
101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,0.04417887885853071,2.7590457627999075e-05,0.0008189277805033783,384
120506,Invesco India Money Market Fund - Direct Plan - Daily IDCW (Reinvestment),-0.0024140137316347237,-0.0002691099582243699,0.004512000441403829,290
119093,HDFC Money Market Fund - Daily IDCW Option - Direct Plan,-0.0032788760449117024,-0.00014577424393556122,0.006597279781773326,290
119094,HDFC Money Market Fund - Weekly IDCW Option -Direct Plan,-0.004856640419217751,-0.0006710643413037963,0.0039176672887090746,290
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,-0.010300517989788765,-0.000651675713620249,0.0008532786932743521,290
119095,DSP Focused Fund - Direct Plan - IDCW,-0.12623926589748616,0.004540845621602098,0.0004558161082738899,295
